feature_set,model_kind,attack_q,risk_threshold,strong_attack_q,d_attack_thr,seed,role,role_type,is_report_only,n,raw_alarm_rate,hard_alarm_rate,suppress_rate,review_rate,temporal_attack_score_mean,temporal_ood_risk_mean
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,43,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,1.0,0.0,0.0,0.9614519793033198,0.03854802069668015
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,43,sealed_heavy_future_near,report_only_attack,True,1336,1.0,1.0,0.0,0.0,0.9805875446234159,0.019412455376583978
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,43,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,1.0,1.0,0.0,0.0,0.9829177699903481,0.017082230009652134
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,43,support_val,dev_attack,False,64,1.0,1.0,0.0,0.0,0.9649522068616712,0.035047793138328946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,dev_future_far,dev_attack,False,339,1.0,1.0,0.0,0.0,0.9836056966679927,0.016394303332007455
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.983827652438859,0.016172347561141144
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.9837477762919745,0.01625222370802541
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,final_ood_report_only,report_only_benign_ood,True,3000,0.25333333333333335,0.004333333333333333,0.249,0.0,0.02157038993850701,0.9784296100614929
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,id_calib,dev_benign_ood,False,600,0.03,0.0,0.03,0.0,0.0037061405748067687,0.9962938594251932
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,ood_stress_val,dev_benign_ood,False,2850,0.28596491228070176,0.0,0.28596491228070176,0.0,0.006536906289854849,0.9934630937101451
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,ood_val,dev_benign_ood,False,1500,0.05333333333333334,0.0,0.05333333333333334,0.0,0.004131684348397534,0.9958683156516026
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,1.0,0.991,0.009,0.0,0.96115737112969,0.038842628870309946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.972972972972973,0.02702702702702703,0.0,0.9445551298296365,0.05544487017036349
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,1.0,0.0,0.0,0.9614519793033198,0.03854802069668015
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,sealed_heavy_future_near,report_only_attack,True,1336,1.0,1.0,0.0,0.0,0.9805875446234159,0.019412455376583978
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,1.0,1.0,0.0,0.0,0.9829177699903481,0.017082230009652134
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,44,support_val,dev_attack,False,64,1.0,1.0,0.0,0.0,0.9649522068616712,0.035047793138328946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,dev_future_far,dev_attack,False,339,1.0,1.0,0.0,0.0,0.9836056966679927,0.016394303332007455
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.983827652438859,0.016172347561141144
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.9837477762919745,0.01625222370802541
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,final_ood_report_only,report_only_benign_ood,True,3000,0.25333333333333335,0.004333333333333333,0.249,0.0,0.02157038993850701,0.9784296100614929
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,id_calib,dev_benign_ood,False,600,0.03,0.0,0.03,0.0,0.0037061405748067687,0.9962938594251932
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,ood_stress_val,dev_benign_ood,False,2850,0.28596491228070176,0.0,0.28596491228070176,0.0,0.006536906289854849,0.9934630937101451
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,ood_val,dev_benign_ood,False,1500,0.05333333333333334,0.0,0.05333333333333334,0.0,0.004131684348397534,0.9958683156516026
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,1.0,0.991,0.009,0.0,0.96115737112969,0.038842628870309946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.972972972972973,0.02702702702702703,0.0,0.9445551298296365,0.05544487017036349
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,1.0,0.0,0.0,0.9614519793033198,0.03854802069668015
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,sealed_heavy_future_near,report_only_attack,True,1336,1.0,1.0,0.0,0.0,0.9805875446234159,0.019412455376583978
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,1.0,1.0,0.0,0.0,0.9829177699903481,0.017082230009652134
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,45,support_val,dev_attack,False,64,1.0,1.0,0.0,0.0,0.9649522068616712,0.035047793138328946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,dev_future_far,dev_attack,False,339,1.0,1.0,0.0,0.0,0.9836056966679927,0.016394303332007455
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.983827652438859,0.016172347561141144
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.9837477762919745,0.01625222370802541
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,final_ood_report_only,report_only_benign_ood,True,3000,0.25333333333333335,0.004333333333333333,0.249,0.0,0.02157038993850701,0.9784296100614929
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,id_calib,dev_benign_ood,False,600,0.03,0.0,0.03,0.0,0.0037061405748067687,0.9962938594251932
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,ood_stress_val,dev_benign_ood,False,2850,0.28596491228070176,0.0,0.28596491228070176,0.0,0.006536906289854849,0.9934630937101451
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,ood_val,dev_benign_ood,False,1500,0.05333333333333334,0.0,0.05333333333333334,0.0,0.004131684348397534,0.9958683156516026
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,1.0,0.991,0.009,0.0,0.96115737112969,0.038842628870309946
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.972972972972973,0.02702702702702703,0.0,0.9445551298296365,0.05544487017036349
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,1.0,0.0,0.0,0.9614519793033198,0.03854802069668015
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,sealed_heavy_future_near,report_only_attack,True,1336,1.0,1.0,0.0,0.0,0.9805875446234159,0.019412455376583978
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,1.0,1.0,0.0,0.0,0.9829177699903481,0.017082230009652134
current_plus_temporal,histgb_shallow,0.99,0.7,0.75,1.0,46,support_val,dev_attack,False,64,1.0,1.0,0.0,0.0,0.9649522068616712,0.035047793138328946
