dataset,holdout,split_protocol,method,method_version,representation,adapter,support_method,positive_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,support_size,support_pool_size,feature_dim,selected_feature_count,train_time,inference_time,parameter_count,support_provenance_clean,threshold_provenance_clean,result_source
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.4645339999997304,0.030435900000156835,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.012,1.2pct,0.9925373090909092,0.969507629361175,0.9309090909090909,0.0038,True,-2.7115290745656973,1375,10000,32,4122,100,0,1.4645339999997304,0.030435900000156835,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.015,1.5pct,0.9925373090909092,0.969507629361175,0.9323636363636364,0.0041,True,-2.9362243777465555,1375,10000,32,4122,100,0,1.4645339999997304,0.030435900000156835,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.02,2.0pct,0.9925373090909092,0.969507629361175,0.9338181818181818,0.0051,True,-3.20595183760417,1375,10000,32,4122,100,0,1.4645339999997304,0.030435900000156835,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.005,0.5pct,0.9546770181818182,0.9482192541507887,0.9236363636363636,0.0133,False,-3.232456195854427,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.008,0.8pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0146,False,-3.340601775032772,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.012,1.2pct,0.9546770181818182,0.9482192541507887,0.9265454545454546,0.019,False,-3.6971765961626635,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.015,1.5pct,0.9546770181818182,0.9482192541507887,0.928,0.0222,False,-3.882553548140707,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.02,2.0pct,0.9546770181818182,0.9482192541507887,0.9294545454545454,0.0287,False,-4.187793147940497,1375,10000,32,4122,32,32,0.2938817000003837,0.00851779999993596,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.005,0.5pct,0.9925373090909092,0.969507629361175,0.9287272727272727,0.0028,True,-2.283850927043697,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.008,0.8pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0035,True,-2.5511138191112526,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.012,1.2pct,0.9925373090909092,0.969507629361175,0.9309090909090909,0.0038,True,-2.7115290745656973,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.015,1.5pct,0.9925373090909092,0.969507629361175,0.9323636363636364,0.0041,True,-2.9362243777465555,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.02,2.0pct,0.9925373090909092,0.969507629361175,0.9338181818181818,0.0051,True,-3.20595183760417,1375,10000,32,4122,100,0,1.6092643000001772,0.03691829999934271,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.005,0.5pct,0.9546770181818182,0.9482192541507887,0.9236363636363636,0.0133,False,-3.232456195854427,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.008,0.8pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0146,False,-3.340601775032772,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.012,1.2pct,0.9546770181818182,0.9482192541507887,0.9265454545454546,0.019,False,-3.6971765961626635,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.015,1.5pct,0.9546770181818182,0.9482192541507887,0.928,0.0222,False,-3.882553548140707,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,44,main_42_46,0.02,2.0pct,0.9546770181818182,0.9482192541507887,0.9294545454545454,0.0287,False,-4.187793147940497,1375,10000,32,4122,32,32,0.2275355000001582,0.010894699999880686,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.005,0.5pct,0.9925373090909092,0.969507629361175,0.9287272727272727,0.0028,True,-2.283850927043697,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.008,0.8pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0035,True,-2.5511138191112526,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.012,1.2pct,0.9925373090909092,0.969507629361175,0.9309090909090909,0.0038,True,-2.7115290745656973,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.015,1.5pct,0.9925373090909092,0.969507629361175,0.9323636363636364,0.0041,True,-2.9362243777465555,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.02,2.0pct,0.9925373090909092,0.969507629361175,0.9338181818181818,0.0051,True,-3.20595183760417,1375,10000,32,4122,100,0,1.3794751999994332,0.033678900000268186,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.005,0.5pct,0.9546770181818182,0.9482192541507887,0.9236363636363636,0.0133,False,-3.232456195854427,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.008,0.8pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0146,False,-3.340601775032772,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.012,1.2pct,0.9546770181818182,0.9482192541507887,0.9265454545454546,0.019,False,-3.6971765961626635,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.015,1.5pct,0.9546770181818182,0.9482192541507887,0.928,0.0222,False,-3.882553548140707,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,45,main_42_46,0.02,2.0pct,0.9546770181818182,0.9482192541507887,0.9294545454545454,0.0287,False,-4.187793147940497,1375,10000,32,4122,32,32,0.2679988999998386,0.013445700000374927,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.005,0.5pct,0.9925373090909092,0.969507629361175,0.9287272727272727,0.0028,True,-2.283850927043697,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.008,0.8pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0035,True,-2.5511138191112526,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.012,1.2pct,0.9925373090909092,0.969507629361175,0.9309090909090909,0.0038,True,-2.7115290745656973,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.015,1.5pct,0.9925373090909092,0.969507629361175,0.9323636363636364,0.0041,True,-2.9362243777465555,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.02,2.0pct,0.9925373090909092,0.969507629361175,0.9338181818181818,0.0051,True,-3.20595183760417,1375,10000,32,4122,100,0,1.2551249999996799,0.01936189999923954,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.005,0.5pct,0.9546770181818182,0.9482192541507887,0.9236363636363636,0.0133,False,-3.232456195854427,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.008,0.8pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0146,False,-3.340601775032772,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.012,1.2pct,0.9546770181818182,0.9482192541507887,0.9265454545454546,0.019,False,-3.6971765961626635,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.015,1.5pct,0.9546770181818182,0.9482192541507887,0.928,0.0222,False,-3.882553548140707,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,46,main_42_46,0.02,2.0pct,0.9546770181818182,0.9482192541507887,0.9294545454545454,0.0287,False,-4.187793147940497,1375,10000,32,4122,32,32,0.17475310000008903,0.010348400000111724,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.005,0.5pct,0.9925373090909092,0.969507629361175,0.9287272727272727,0.0028,True,-2.283850927043697,1375,10000,32,4122,100,0,1.4655383999997866,0.02723859999969136,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.008,0.8pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0035,True,-2.5511138191112526,1375,10000,32,4122,100,0,1.4655383999997866,0.02723859999969136,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.4655383999997866,0.02723859999969136,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.012,1.2pct,0.9925373090909092,0.969507629361175,0.9309090909090909,0.0038,True,-2.7115290745656973,1375,10000,32,4122,100,0,1.4655383999997866,0.02723859999969136,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,47,heldout_47_51,0.015,1.5pct,0.9925373090909092,0.969507629361175,0.9323636363636364,0.0041,True,-2.9362243777465555,1375,10000,32,4122,100,0,1.4655383999997866,0.02723859999969136,101,True,True,issue19b_same_protocol_backtest
