dataset,holdout,method,seed,seed_group,ood_target,ood_target_label,threshold,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,ood_val_alarm_at_selection,id_calib_alarm_at_selection
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,45,main_42_46,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,45,main_42_46,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,46,main_42_46,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,46,main_42_46,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,47,heldout_47_51,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,47,heldout_47_51,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,48,heldout_47_51,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,48,heldout_47_51,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,49,heldout_47_51,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,49,heldout_47_51,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,50,heldout_47_51,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,50,heldout_47_51,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.01,1.0pct,-2.646479427395543,True,True,False,False,0.0005,0.01
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.012,1.2pct,-2.7115290745656973,True,True,False,False,0.0005,0.0118
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.015,1.5pct,-2.9362243777465555,True,True,False,False,0.0005,0.015
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,51,heldout_47_51,0.02,2.0pct,-3.20595183760417,True,True,False,False,0.001,0.02
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.005,0.5pct,-3.232456195854427,True,True,False,False,0.005,0.0022
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.008,0.8pct,-3.340601775032772,True,True,False,False,0.0075,0.0026
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.01,1.0pct,-3.426404387097379,True,True,False,False,0.0095,0.0032
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.012,1.2pct,-3.6971765961626635,True,True,False,False,0.012,0.0058
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.015,1.5pct,-3.882553548140707,True,True,False,False,0.015,0.0092
primary_lowood,primary_lowood,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,51,heldout_47_51,0.02,2.0pct,-4.187793147940497,True,True,False,False,0.02,0.0166
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,0.0,0.005
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.008,0.8pct,-3.01799458396583,True,True,False,False,0.0,0.0078
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.01,1.0pct,-3.2033476938112866,True,True,False,False,0.0,0.0098
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.012,1.2pct,-3.34480338292018,True,True,False,False,0.0005,0.0118
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.015,1.5pct,-3.4369717597355867,True,True,False,False,0.0005,0.015
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,42,main_42_46,0.02,2.0pct,-3.644449702795814,True,True,False,False,0.0015,0.0198
