dataset,holdout,method,method_group,seed_group,ood_target,ood_target_label,n_seeds,roc_auc_mean,pr_auc_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_topk,hard_negative_count,train_time_mean,inference_time_mean,provenance_clean_rate
harder_holdout,chrono_late_train_early_eval,M0_V1_original100_kcenter32_fixed_guard,baseline,heldout_47_51,0.01,1.0pct,5,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,32,100,0,0,0.8514251200016588,0.01954966000339482,1.0
harder_holdout,chrono_late_train_early_eval,M0_V1_original100_kcenter32_fixed_guard,baseline,main_42_46,0.01,1.0pct,5,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,32,100,0,0,0.8406338400032837,0.02169574000290595,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.01,1.0pct,5,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.01,1.0pct,5,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M3_source_rich_top32_kcenter64_fixed_guard,support_budget,heldout_47_51,0.01,1.0pct,5,0.9806608289550496,0.9604997135703297,0.7530647985989493,0.0,0.7530647985989493,0.7530647985989493,0.0093,0.0093,1.0,-0.6124147940701428,64,32,32,0,0.16359631999803242,0.006638540001586079,1.0
harder_holdout,chrono_late_train_early_eval,M3_source_rich_top32_kcenter64_fixed_guard,support_budget,main_42_46,0.01,1.0pct,5,0.9806608289550496,0.9604997135703297,0.7530647985989493,0.0,0.7530647985989493,0.7530647985989493,0.0093,0.0093,1.0,-0.6124147940701428,64,32,32,0,0.168521339999279,0.006978499999968335,1.0
harder_holdout,chrono_late_train_early_eval,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,heldout_47_51,0.01,1.0pct,5,0.9785687974314069,0.9631775539122135,0.8561004086398132,0.0,0.8561004086398132,0.8561004086398132,0.0089,0.0089,1.0,-0.7461500496769689,128,32,32,0,0.14594980000110808,0.006826900003943592,1.0
harder_holdout,chrono_late_train_early_eval,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,main_42_46,0.01,1.0pct,5,0.9785687974314069,0.9631775539122135,0.8561004086398132,0.0,0.8561004086398132,0.8561004086398132,0.0089,0.0089,1.0,-0.7461500496769689,128,32,32,0,0.1460268399998313,0.007674160003080033,1.0
harder_holdout,chrono_late_train_early_eval,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,heldout_47_51,0.01,1.0pct,5,0.9367034559252773,0.9110987940381674,0.7780502043199066,0.025345015103074534,0.7574430823117339,0.8181552831290134,0.00558,0.0113,0.8,-2.2105222172759182,64,32,32,0,0.1263043600018136,0.0069472000002861025,1.0
harder_holdout,chrono_late_train_early_eval,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,main_42_46,0.01,1.0pct,5,0.9662459077641564,0.9530415051489,0.8431406888499708,0.05253518825917921,0.7644483362521891,0.8922942206654991,0.0032799999999999995,0.0048,1.0,-2.5689488062633776,64,32,32,0,0.12868215999915264,0.0069322199968155475,1.0
harder_holdout,chrono_late_train_early_eval,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,heldout_47_51,0.01,1.0pct,5,0.972716783420899,0.943102629218194,0.6637478108581436,0.0,0.6637478108581436,0.6637478108581436,0.0031,0.0031,1.0,4.9014033985759395,32,16,16,0,0.05934709999710321,0.0040377400000579655,1.0
harder_holdout,chrono_late_train_early_eval,M5_source_rich_top16_kcenter32_fixed_guard,feature_count,main_42_46,0.01,1.0pct,5,0.972716783420899,0.943102629218194,0.6637478108581436,0.0,0.6637478108581436,0.6637478108581436,0.0031,0.0031,1.0,4.9014033985759395,32,16,16,0,0.06088214000337757,0.0034798200038494544,1.0
harder_holdout,chrono_late_train_early_eval,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,heldout_47_51,0.01,1.0pct,5,0.9551145942790426,0.9382830615319122,0.8248686514886165,0.0,0.8248686514886164,0.8248686514886164,0.0066,0.0066,1.0,-2.278290357151126,32,48,48,0,0.28329950000334064,0.01036924000363797,1.0
harder_holdout,chrono_late_train_early_eval,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,main_42_46,0.01,1.0pct,5,0.9551145942790426,0.9382830615319122,0.8248686514886165,0.0,0.8248686514886164,0.8248686514886164,0.0066,0.0066,1.0,-2.278290357151126,32,48,48,0,0.29714277999592015,0.01080979999678675,1.0
harder_holdout,chrono_late_train_early_eval,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,heldout_47_51,0.01,1.0pct,5,0.9932267950963223,0.9883133894403848,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,32,64,64,0,0.4652088199974969,0.015112640001461841,1.0
harder_holdout,chrono_late_train_early_eval,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,main_42_46,0.01,1.0pct,5,0.9932267950963223,0.9883133894403848,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,32,64,64,0,0.48217595999594776,0.014798500001779758,1.0
harder_holdout,chrono_late_train_early_eval,M9_source_rich_top32_kcenter32_hardneg_w4,low_fpr_adapter_sanity,heldout_47_51,0.01,1.0pct,5,0.9827206946876824,0.9698962832179585,0.7956800934033859,0.0,0.7956800934033859,0.7956800934033859,0.0107,0.0107,0.0,-1.104138819212163,32,32,32,100,0.15563486000173726,0.0067436200013617055,1.0
harder_holdout,chrono_late_train_early_eval,M9_source_rich_top32_kcenter32_hardneg_w4,low_fpr_adapter_sanity,main_42_46,0.01,1.0pct,5,0.9827206946876824,0.9698962832179585,0.7956800934033859,0.0,0.7956800934033859,0.7956800934033859,0.0107,0.0107,0.0,-1.104138819212163,32,32,32,100,0.15776977999776137,0.006763139998656698,1.0
