evaluation_role,dataset,holdout,seed,seed_group,alpha,selected_by_validation,threshold,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct,final_metrics_report_only
locked,locked_harder_holdout,holdout_bin_5,48,heldout_47_51,0.6,False,1.6305947735357436,0.9893741163055871,0.9797646534767951,0.9840594076425457,0.9692132269099202,0.9669327251995439,0.0008,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,48,heldout_47_51,0.7,False,1.6927885249810215,0.9870867730900797,0.9769220287605523,0.9838531311059288,0.9680729760547321,0.9680729760547321,0.0013,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,48,heldout_47_51,0.8,False,1.7379152298268479,0.9848220068415051,0.9749798852995453,0.9838072918755694,0.9680729760547321,0.9680729760547321,0.0025,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,48,heldout_47_51,0.9,True,1.8322651301399804,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,49,heldout_47_51,0.5,False,1.554760383816045,0.991777993158495,0.9839057466931772,0.9849418128269626,0.9726339794754846,0.9669327251995439,0.0003,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,49,heldout_47_51,0.6,False,1.6305947735357436,0.9893741163055871,0.9797646534767951,0.9840594076425457,0.9692132269099202,0.9669327251995439,0.0008,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,49,heldout_47_51,0.7,False,1.6927885249810215,0.9870867730900797,0.9769220287605523,0.9838531311059288,0.9680729760547321,0.9680729760547321,0.0013,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,49,heldout_47_51,0.8,False,1.7379152298268479,0.9848220068415051,0.9749798852995453,0.9838072918755694,0.9680729760547321,0.9680729760547321,0.0025,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,49,heldout_47_51,0.9,True,1.8322651301399804,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,50,heldout_47_51,0.5,False,1.554760383816045,0.991777993158495,0.9839057466931772,0.9849418128269626,0.9726339794754846,0.9669327251995439,0.0003,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,50,heldout_47_51,0.6,False,1.6305947735357436,0.9893741163055871,0.9797646534767951,0.9840594076425457,0.9692132269099202,0.9669327251995439,0.0008,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,50,heldout_47_51,0.7,False,1.6927885249810215,0.9870867730900797,0.9769220287605523,0.9838531311059288,0.9680729760547321,0.9680729760547321,0.0013,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,50,heldout_47_51,0.8,False,1.7379152298268479,0.9848220068415051,0.9749798852995453,0.9838072918755694,0.9680729760547321,0.9680729760547321,0.0025,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,50,heldout_47_51,0.9,True,1.8322651301399804,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,51,heldout_47_51,0.5,False,1.554760383816045,0.991777993158495,0.9839057466931772,0.9849418128269626,0.9726339794754846,0.9669327251995439,0.0003,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,51,heldout_47_51,0.6,False,1.6305947735357436,0.9893741163055871,0.9797646534767951,0.9840594076425457,0.9692132269099202,0.9669327251995439,0.0008,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,51,heldout_47_51,0.7,False,1.6927885249810215,0.9870867730900797,0.9769220287605523,0.9838531311059288,0.9680729760547321,0.9680729760547321,0.0013,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,51,heldout_47_51,0.8,False,1.7379152298268479,0.9848220068415051,0.9749798852995453,0.9838072918755694,0.9680729760547321,0.9680729760547321,0.0025,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_5,51,heldout_47_51,0.9,True,1.8322651301399804,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,42,main_42_46,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,42,main_42_46,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,42,main_42_46,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,42,main_42_46,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,42,main_42_46,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,43,main_42_46,0.5,True,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,43,main_42_46,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,43,main_42_46,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,43,main_42_46,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,43,main_42_46,0.9,False,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,44,main_42_46,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,44,main_42_46,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,44,main_42_46,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,44,main_42_46,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,44,main_42_46,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,45,main_42_46,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,45,main_42_46,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,45,main_42_46,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,45,main_42_46,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,45,main_42_46,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,46,main_42_46,0.5,False,1.5511899860590017,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,46,main_42_46,0.6,False,1.6306026671679827,0.9900374625374625,0.9826469900298371,0.9848995225879649,0.97002997002997,0.97002997002997,0.0012,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,46,main_42_46,0.7,False,1.7005361741343397,0.9880391608391609,0.9793915287590669,0.9848744220603518,0.97002997002997,0.97002997002997,0.0017,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,46,main_42_46,0.8,False,1.767507509597583,0.9861263736263736,0.9774090934069357,0.9848292411106483,0.97002997002997,0.97002997002997,0.0025,1001,10000,True,True
locked,locked_harder_holdout,holdout_bin_6,46,main_42_46,0.9,True,1.857977632703146,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True,True
