seed,role,risk_model,risk_threshold,strong_margin_q,attack_outer_norm,review_budget,is_report_only,n,raw_alarm_rate,hard_alarm_rate,review_rate,suppress_rate,strong_attack_rate,high_ood_risk_rate,weak_attack_rate,risk_mean,risk_p50,risk_p95,risk_p99,margin_p50,d_attack_outer_min_p50,d_benign_core_min_p50
43,ood_stress_val,histgb_shallow,0.5,0.0,1.0,0.0,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.02526315789473684,0.2982456140350877,0.2982456140350877,0.9922978618961642,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06900562631119686,0.49821266531944275,0.001577902352437377
43,support_val,histgb_shallow,0.5,0.0,1.0,0.0,False,64,0.984375,0.984375,0.0,0.0,0.984375,0.1875,0.328125,0.2042085598306814,0.011719728842509288,0.9917063341149046,0.9930889502247863,0.7559101097144891,0.4628599286079407,0.002822717884555459
43,dev_future_near,histgb_shallow,0.5,0.0,1.0,0.0,False,346,1.0,1.0,0.0,0.0,1.0,0.023121387283236993,0.4682080924855491,0.0350504079008287,0.011719728842509288,0.0366385280842131,0.9701601626994141,0.7337000377044739,0.4815722703933716,0.0030955099500715733
43,dev_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,False,339,1.0,1.0,0.0,0.0,0.9734513274336283,0.0,0.30973451327433627,0.012484755750480017,0.011719728842509288,0.01658390862771209,0.0366385280842131,0.8171889445805136,0.4698783755302429,0.0032034688629209995
43,dev_future_far,histgb_shallow,0.5,0.0,1.0,0.0,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.9793510324483776,0.029498525073746312,0.30383480825958703,0.04481105568808195,0.011719728842509288,0.026391529202683894,0.9701601626994141,0.7537414307770546,0.4626353979110718,0.0032511332537978888
43,sealed_medium_attack_eval_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,2250,0.992,0.9915555555555555,0.0,0.00044444444444444447,0.9915555555555555,0.025777777777777778,0.050666666666666665,0.04393676148203566,0.011719728842509288,0.0366385280842131,0.9917063341149046,0.8646197031332155,0.45639339089393616,0.0021641277708113194
43,sealed_dev_heavy_query_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,4000,0.9995,0.74075,0.0,0.25875,0.654,0.26025,0.53425,0.2616948449276607,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.8171715140342712,0.04451487958431244
43,sealed_heavy_future_near,histgb_shallow,0.5,0.0,1.0,0.0,True,1336,0.9985029940119761,0.8637724550898204,0.0,0.1347305389221557,0.7739520958083832,0.13622754491017963,0.41092814371257486,0.1483689034060247,0.011719728842509288,0.9260083334473544,0.9875904474961089,0.6834873955984657,0.7588960528373718,0.04455246031284332
43,sealed_heavy_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.7079579579579579,0.0,0.29204204204204204,0.6381381381381381,0.29429429429429427,0.581081081081081,0.2996103553568056,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.7030502557754517,0.04440224915742874
43,sealed_heavy_future_far,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.6501501501501501,0.0,0.34984984984984985,0.5495495495495496,0.3506006006006006,0.6111111111111112,0.3374455941628594,0.01658390862771209,0.9875904474961089,0.9875904474961089,0.6791579688624176,0.9766333103179932,0.044535860419273376
43,final_ood_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.0,0.26966666666666667,0.26966666666666667,0.987206770521414,0.9917063341149046,0.9937660106519236,0.9937660106519236,-0.06502451819157042,0.4843785762786865,0.0017857031198218465
44,id_calib,histgb_shallow,0.5,0.0,1.0,0.0,False,600,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.9904147201716228,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06664158245825308,0.5249587297439575,0.001964626833796501
44,ood_val,histgb_shallow,0.5,0.0,1.0,0.0,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.25933333333333336,0.8273333333333334,0.8273333333333334,0.9916988408269645,0.9937660106519236,0.9937660106519236,0.9937660106519236,0.0993717782569513,0.7416781187057495,0.0015546551439911127
44,ood_stress_val,histgb_shallow,0.5,0.0,1.0,0.0,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.02526315789473684,0.2982456140350877,0.2982456140350877,0.9922978618961642,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06900562631119686,0.49821266531944275,0.001577902352437377
44,support_val,histgb_shallow,0.5,0.0,1.0,0.0,False,64,0.984375,0.984375,0.0,0.0,0.984375,0.1875,0.328125,0.2042085598306814,0.011719728842509288,0.9917063341149046,0.9930889502247863,0.7559101097144891,0.4628599286079407,0.002822717884555459
44,dev_future_near,histgb_shallow,0.5,0.0,1.0,0.0,False,346,1.0,1.0,0.0,0.0,1.0,0.023121387283236993,0.4682080924855491,0.0350504079008287,0.011719728842509288,0.0366385280842131,0.9701601626994141,0.7337000377044739,0.4815722703933716,0.0030955099500715733
44,dev_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,False,339,1.0,1.0,0.0,0.0,0.9734513274336283,0.0,0.30973451327433627,0.012484755750480017,0.011719728842509288,0.01658390862771209,0.0366385280842131,0.8171889445805136,0.4698783755302429,0.0032034688629209995
44,dev_future_far,histgb_shallow,0.5,0.0,1.0,0.0,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.9793510324483776,0.029498525073746312,0.30383480825958703,0.04481105568808195,0.011719728842509288,0.026391529202683894,0.9701601626994141,0.7537414307770546,0.4626353979110718,0.0032511332537978888
44,sealed_medium_attack_eval_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,2250,0.992,0.9915555555555555,0.0,0.00044444444444444447,0.9915555555555555,0.025777777777777778,0.050666666666666665,0.04393676148203566,0.011719728842509288,0.0366385280842131,0.9917063341149046,0.8646197031332155,0.45639339089393616,0.0021641277708113194
44,sealed_dev_heavy_query_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,4000,0.9995,0.74075,0.0,0.25875,0.654,0.26025,0.53425,0.2616948449276607,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.8171715140342712,0.04451487958431244
44,sealed_heavy_future_near,histgb_shallow,0.5,0.0,1.0,0.0,True,1336,0.9985029940119761,0.8637724550898204,0.0,0.1347305389221557,0.7739520958083832,0.13622754491017963,0.41092814371257486,0.1483689034060247,0.011719728842509288,0.9260083334473544,0.9875904474961089,0.6834873955984657,0.7588960528373718,0.04455246031284332
44,sealed_heavy_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.7079579579579579,0.0,0.29204204204204204,0.6381381381381381,0.29429429429429427,0.581081081081081,0.2996103553568056,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.7030502557754517,0.04440224915742874
44,sealed_heavy_future_far,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.6501501501501501,0.0,0.34984984984984985,0.5495495495495496,0.3506006006006006,0.6111111111111112,0.3374455941628594,0.01658390862771209,0.9875904474961089,0.9875904474961089,0.6791579688624176,0.9766333103179932,0.044535860419273376
44,final_ood_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.0,0.26966666666666667,0.26966666666666667,0.987206770521414,0.9917063341149046,0.9937660106519236,0.9937660106519236,-0.06502451819157042,0.4843785762786865,0.0017857031198218465
45,id_calib,histgb_shallow,0.5,0.0,1.0,0.0,False,600,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.9904147201716228,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06664158245825308,0.5249587297439575,0.001964626833796501
45,ood_val,histgb_shallow,0.5,0.0,1.0,0.0,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.25933333333333336,0.8273333333333334,0.8273333333333334,0.9916988408269645,0.9937660106519236,0.9937660106519236,0.9937660106519236,0.0993717782569513,0.7416781187057495,0.0015546551439911127
45,ood_stress_val,histgb_shallow,0.5,0.0,1.0,0.0,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.02526315789473684,0.2982456140350877,0.2982456140350877,0.9922978618961642,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06900562631119686,0.49821266531944275,0.001577902352437377
45,support_val,histgb_shallow,0.5,0.0,1.0,0.0,False,64,0.984375,0.984375,0.0,0.0,0.984375,0.1875,0.328125,0.2042085598306814,0.011719728842509288,0.9917063341149046,0.9930889502247863,0.7559101097144891,0.4628599286079407,0.002822717884555459
45,dev_future_near,histgb_shallow,0.5,0.0,1.0,0.0,False,346,1.0,1.0,0.0,0.0,1.0,0.023121387283236993,0.4682080924855491,0.0350504079008287,0.011719728842509288,0.0366385280842131,0.9701601626994141,0.7337000377044739,0.4815722703933716,0.0030955099500715733
45,dev_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,False,339,1.0,1.0,0.0,0.0,0.9734513274336283,0.0,0.30973451327433627,0.012484755750480017,0.011719728842509288,0.01658390862771209,0.0366385280842131,0.8171889445805136,0.4698783755302429,0.0032034688629209995
45,dev_future_far,histgb_shallow,0.5,0.0,1.0,0.0,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.9793510324483776,0.029498525073746312,0.30383480825958703,0.04481105568808195,0.011719728842509288,0.026391529202683894,0.9701601626994141,0.7537414307770546,0.4626353979110718,0.0032511332537978888
45,sealed_medium_attack_eval_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,2250,0.992,0.9915555555555555,0.0,0.00044444444444444447,0.9915555555555555,0.025777777777777778,0.050666666666666665,0.04393676148203566,0.011719728842509288,0.0366385280842131,0.9917063341149046,0.8646197031332155,0.45639339089393616,0.0021641277708113194
45,sealed_dev_heavy_query_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,4000,0.9995,0.74075,0.0,0.25875,0.654,0.26025,0.53425,0.2616948449276607,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.8171715140342712,0.04451487958431244
45,sealed_heavy_future_near,histgb_shallow,0.5,0.0,1.0,0.0,True,1336,0.9985029940119761,0.8637724550898204,0.0,0.1347305389221557,0.7739520958083832,0.13622754491017963,0.41092814371257486,0.1483689034060247,0.011719728842509288,0.9260083334473544,0.9875904474961089,0.6834873955984657,0.7588960528373718,0.04455246031284332
45,sealed_heavy_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.7079579579579579,0.0,0.29204204204204204,0.6381381381381381,0.29429429429429427,0.581081081081081,0.2996103553568056,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.7030502557754517,0.04440224915742874
45,sealed_heavy_future_far,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.6501501501501501,0.0,0.34984984984984985,0.5495495495495496,0.3506006006006006,0.6111111111111112,0.3374455941628594,0.01658390862771209,0.9875904474961089,0.9875904474961089,0.6791579688624176,0.9766333103179932,0.044535860419273376
45,final_ood_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.0,0.26966666666666667,0.26966666666666667,0.987206770521414,0.9917063341149046,0.9937660106519236,0.9937660106519236,-0.06502451819157042,0.4843785762786865,0.0017857031198218465
46,id_calib,histgb_shallow,0.5,0.0,1.0,0.0,False,600,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.9904147201716228,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06664158245825308,0.5249587297439575,0.001964626833796501
46,ood_val,histgb_shallow,0.5,0.0,1.0,0.0,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.25933333333333336,0.8273333333333334,0.8273333333333334,0.9916988408269645,0.9937660106519236,0.9937660106519236,0.9937660106519236,0.0993717782569513,0.7416781187057495,0.0015546551439911127
46,ood_stress_val,histgb_shallow,0.5,0.0,1.0,0.0,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.02526315789473684,0.2982456140350877,0.2982456140350877,0.9922978618961642,0.9935831736129246,0.9937660106519236,0.9937660106519236,-0.06900562631119686,0.49821266531944275,0.001577902352437377
46,support_val,histgb_shallow,0.5,0.0,1.0,0.0,False,64,0.984375,0.984375,0.0,0.0,0.984375,0.1875,0.328125,0.2042085598306814,0.011719728842509288,0.9917063341149046,0.9930889502247863,0.7559101097144891,0.4628599286079407,0.002822717884555459
46,dev_future_near,histgb_shallow,0.5,0.0,1.0,0.0,False,346,1.0,1.0,0.0,0.0,1.0,0.023121387283236993,0.4682080924855491,0.0350504079008287,0.011719728842509288,0.0366385280842131,0.9701601626994141,0.7337000377044739,0.4815722703933716,0.0030955099500715733
46,dev_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,False,339,1.0,1.0,0.0,0.0,0.9734513274336283,0.0,0.30973451327433627,0.012484755750480017,0.011719728842509288,0.01658390862771209,0.0366385280842131,0.8171889445805136,0.4698783755302429,0.0032034688629209995
46,dev_future_far,histgb_shallow,0.5,0.0,1.0,0.0,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.9793510324483776,0.029498525073746312,0.30383480825958703,0.04481105568808195,0.011719728842509288,0.026391529202683894,0.9701601626994141,0.7537414307770546,0.4626353979110718,0.0032511332537978888
46,sealed_medium_attack_eval_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,2250,0.992,0.9915555555555555,0.0,0.00044444444444444447,0.9915555555555555,0.025777777777777778,0.050666666666666665,0.04393676148203566,0.011719728842509288,0.0366385280842131,0.9917063341149046,0.8646197031332155,0.45639339089393616,0.0021641277708113194
46,sealed_dev_heavy_query_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,4000,0.9995,0.74075,0.0,0.25875,0.654,0.26025,0.53425,0.2616948449276607,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.8171715140342712,0.04451487958431244
46,sealed_heavy_future_near,histgb_shallow,0.5,0.0,1.0,0.0,True,1336,0.9985029940119761,0.8637724550898204,0.0,0.1347305389221557,0.7739520958083832,0.13622754491017963,0.41092814371257486,0.1483689034060247,0.011719728842509288,0.9260083334473544,0.9875904474961089,0.6834873955984657,0.7588960528373718,0.04455246031284332
46,sealed_heavy_future_mid,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.7079579579579579,0.0,0.29204204204204204,0.6381381381381381,0.29429429429429427,0.581081081081081,0.2996103553568056,0.011719728842509288,0.9875904474961089,0.9875904474961089,0.6834873955984657,0.7030502557754517,0.04440224915742874
46,sealed_heavy_future_far,histgb_shallow,0.5,0.0,1.0,0.0,True,1332,1.0,0.6501501501501501,0.0,0.34984984984984985,0.5495495495495496,0.3506006006006006,0.6111111111111112,0.3374455941628594,0.01658390862771209,0.9875904474961089,0.9875904474961089,0.6791579688624176,0.9766333103179932,0.044535860419273376
46,final_ood_report_only,histgb_shallow,0.5,0.0,1.0,0.0,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.0,0.26966666666666667,0.26966666666666667,0.987206770521414,0.9917063341149046,0.9937660106519236,0.9937660106519236,-0.06502451819157042,0.4843785762786865,0.0017857031198218465
