held_source,fold,fit_sources,fit_rows,held_rows,held_score_median,held_score_mad,held_source_used_in_fit,report_rows_used,attack_rows_used,model_sha256,held_value,seed
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,1,15,8009,600,3.9026379010880907,0.9599014280293052,0,0,0,7288c7730fd58c65f5614c6e0e4887ad2b0047a77440d425a54f17260f655841,iotsim-stream-consumer,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,2,15,8009,600,3.8943034623125525,0.9573680301698395,0,0,0,727c8b99a70aa21ce6557283ecb73f2fc256427aa160b3d0031e3d7f2668b49e,iotsim-stream-consumer,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,3,15,8009,600,3.88126689182011,0.9310214898246534,0,0,0,f97ed4279bb86ec2af8d0ed99b354c5d64f293d24234ba640aa9cd2182994c39,iotsim-stream-consumer,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,4,15,8009,600,3.831935162457877,0.9091285668812432,0,0,0,7710be992e40b1c274a384cf6937a54ddee16d4a3dac9615398c35095adc17fc,iotsim-stream-consumer,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,5,15,8009,600,3.825412231953085,0.9060094914298711,0,0,0,7f7b967c03cd1efdeb5f71a5df7a46997a96f10d329ab3d7e183cbb60795a874,iotsim-stream-consumer,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,6,15,8009,600,3.8332920452869352,0.8830339185632474,0,0,0,0fc30fb889dc8a72536ee724cd384c380e0a2d92c9978009a05b3ad4bdb9422d,iotsim-stream-consumer,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,7,15,8009,600,3.929225758692332,0.5138256673545372,0,0,0,664eed51f0250d266c1a95cd810e5dddb0a7ed725f8be0ae5cc44b298c76af5a,iotsim-stream-consumer,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,8,15,8009,600,4.405147360714609,0.4507303652915291,0,0,0,43b3f6856e1220f3419abe88652abe7eff8c96d9fdb280c26f51c64c01eab13b,iotsim-stream-consumer,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,9,15,8009,600,4.422320295951188,0.4937095619441738,0,0,0,dbfa028f837b06d96b9904faaa774e0c59051d4de392834355413e4a8a15f5a0,iotsim-stream-consumer,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,10,15,8009,600,4.462833617670594,0.5242951666113378,0,0,0,6e1660b97fad4c35aaedad4c32ebad419a1a17806fc8966102132f4bfc97680d,iotsim-stream-consumer,27
processed/iotsim-building-monitor-2.csv,11,15,8009,600,4.595816193507963,0.6360727775702024,0,0,0,7eb11ed9243851816542c24867f2b5494648836e3161489f8fdd0c591fc40755,iotsim-stream-consumer,27
processed/iotsim-building-monitor-3.csv,12,15,8009,600,4.652028281847906,0.5109396058026658,0,0,0,e1b0ba5bf44c4e0cf75be9da3918c567068c334d7dddc06e0c100cb7e9fbfe1a,iotsim-stream-consumer,27
processed/iotsim-combined-cycle-tls-3.csv,13,15,8339,270,3.922668237034184,0.5619658606576647,0,0,0,af6e0064402b91f12c120be7742a5bcfc37d7d5000c21f44a8f9392960003315,iotsim-stream-consumer,27
processed/iotsim-combined-cycle-tls-4.csv,14,15,8339,270,3.8562991208981003,0.5521162266199027,0,0,0,08149b9e57020e05bacfc4bef48b458eba5652360da4fccb435fb3481275edb1,iotsim-stream-consumer,27
processed/iotsim-combined-cycle-tls-5.csv,15,15,8340,269,3.7909223163569425,0.516626674330515,0,0,0,d503ad184607aa48d245bc7d9eb8ab41061b2d33ba2938744036b75d02f316d2,iotsim-stream-consumer,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,0,15,8009,600,4.398835944498401,0.36832166154597257,0,0,0,57ff0bb883050869e2f29d8760938f116a822a9764b56f6f322207f7c349d381,iotsim-hydraulic-system,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,1,15,8009,600,3.9026379010880907,0.9599014280293052,0,0,0,7288c7730fd58c65f5614c6e0e4887ad2b0047a77440d425a54f17260f655841,iotsim-hydraulic-system,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,2,15,8009,600,3.8943034623125525,0.9573680301698395,0,0,0,727c8b99a70aa21ce6557283ecb73f2fc256427aa160b3d0031e3d7f2668b49e,iotsim-hydraulic-system,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,3,15,8009,600,3.88126689182011,0.9310214898246534,0,0,0,f97ed4279bb86ec2af8d0ed99b354c5d64f293d24234ba640aa9cd2182994c39,iotsim-hydraulic-system,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,4,15,8009,600,3.831935162457877,0.9091285668812432,0,0,0,7710be992e40b1c274a384cf6937a54ddee16d4a3dac9615398c35095adc17fc,iotsim-hydraulic-system,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,5,15,8009,600,3.825412231953085,0.9060094914298711,0,0,0,7f7b967c03cd1efdeb5f71a5df7a46997a96f10d329ab3d7e183cbb60795a874,iotsim-hydraulic-system,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,6,15,8009,600,3.8332920452869352,0.8830339185632474,0,0,0,0fc30fb889dc8a72536ee724cd384c380e0a2d92c9978009a05b3ad4bdb9422d,iotsim-hydraulic-system,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,7,15,8009,600,3.929225758692332,0.5138256673545372,0,0,0,664eed51f0250d266c1a95cd810e5dddb0a7ed725f8be0ae5cc44b298c76af5a,iotsim-hydraulic-system,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,8,15,8009,600,4.405147360714609,0.4507303652915291,0,0,0,43b3f6856e1220f3419abe88652abe7eff8c96d9fdb280c26f51c64c01eab13b,iotsim-hydraulic-system,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,9,15,8009,600,4.422320295951188,0.4937095619441738,0,0,0,dbfa028f837b06d96b9904faaa774e0c59051d4de392834355413e4a8a15f5a0,iotsim-hydraulic-system,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,10,15,8009,600,4.462833617670594,0.5242951666113378,0,0,0,6e1660b97fad4c35aaedad4c32ebad419a1a17806fc8966102132f4bfc97680d,iotsim-hydraulic-system,27
processed/iotsim-building-monitor-2.csv,11,15,8009,600,4.595816193507963,0.6360727775702024,0,0,0,7eb11ed9243851816542c24867f2b5494648836e3161489f8fdd0c591fc40755,iotsim-hydraulic-system,27
processed/iotsim-building-monitor-3.csv,12,15,8009,600,4.652028281847906,0.5109396058026658,0,0,0,e1b0ba5bf44c4e0cf75be9da3918c567068c334d7dddc06e0c100cb7e9fbfe1a,iotsim-hydraulic-system,27
processed/iotsim-combined-cycle-tls-3.csv,13,15,8339,270,3.922668237034184,0.5619658606576647,0,0,0,af6e0064402b91f12c120be7742a5bcfc37d7d5000c21f44a8f9392960003315,iotsim-hydraulic-system,27
processed/iotsim-combined-cycle-tls-4.csv,14,15,8339,270,3.8562991208981003,0.5521162266199027,0,0,0,08149b9e57020e05bacfc4bef48b458eba5652360da4fccb435fb3481275edb1,iotsim-hydraulic-system,27
processed/iotsim-combined-cycle-tls-5.csv,15,15,8340,269,3.7909223163569425,0.516626674330515,0,0,0,d503ad184607aa48d245bc7d9eb8ab41061b2d33ba2938744036b75d02f316d2,iotsim-hydraulic-system,27
