strategy,head_name,head_family,variant_name,fit_mode,threshold_rule,threshold_source_roles,support_adaptation,ood_guard,threshold_safety,id_alarm,ood_val_alarm,final_ood_alarm,attack_support_detection,attack_eval_detection,feasible_under_1pct,collapse_flag_attack_eval_lt_0p20,ood_overbudget_flag,final_eval_used_for_selection,attack_eval_used_for_selection,diagnostic_only,formal_benchmark,full_contract_pending,status,reason
reset_at_split_boundary,LR,lr,raw_support_id_threshold,id_support32,id_q99,id_benign_train,True,False,False,0.01,0.658,0.5233333333333333,0.96875,0.9786666666666667,False,False,True,False,False,True,False,True,pass,
reset_at_split_boundary,LR,lr,threshold_guard_only,id_support32,ood_val_q99,ood_benign_val,True,True,True,0.0,0.01,0.04833333333333333,0.0,0.0008888888888888889,False,True,True,False,False,True,False,True,pass,
reset_at_split_boundary,LR,lr,full_guarded_protocol,id_support32,max_id_ood_val_q99,id_benign_train|ood_benign_val,True,True,True,0.0,0.01,0.04833333333333333,0.0,0.0008888888888888889,False,True,True,False,False,True,False,True,pass,
reset_at_split_boundary,LR,,no_support_ood_guard,,,,,,,,,,,,,,,,,True,False,,implementation_incomplete,implementation_incomplete_supervised_head_requires_two_classes
reset_at_split_boundary,HistGB,histgb,raw_support_id_threshold,id_support32,id_q99,id_benign_train,True,False,False,0.010333333333333333,0.339,0.4033333333333333,1.0,0.8168888888888889,False,False,True,False,False,True,False,True,pass,
reset_at_split_boundary,HistGB,histgb,threshold_guard_only,id_support32,ood_val_q99,ood_benign_val,True,True,True,0.0,0.010333333333333333,0.009333333333333334,0.5625,0.19466666666666665,True,True,False,False,False,True,False,True,pass,
reset_at_split_boundary,HistGB,histgb,full_guarded_protocol,id_support32,max_id_ood_val_q99,id_benign_train|ood_benign_val,True,True,True,0.0,0.010333333333333333,0.009333333333333334,0.5625,0.19466666666666665,True,True,False,False,False,True,False,True,pass,
reset_at_split_boundary,HistGB,,no_support_ood_guard,,,,,,,,,,,,,,,,,True,False,,implementation_incomplete,implementation_incomplete_supervised_head_requires_two_classes
reset_at_split_boundary,DeepSADStyle_Lite,deepsad,raw_support_id_threshold,id_support32,id_q99,id_benign_train,True,False,False,0.01,0.30766666666666664,0.204,0.65625,0.8946666666666667,False,False,True,False,False,True,False,True,pass,
reset_at_split_boundary,DeepSADStyle_Lite,deepsad,threshold_guard_only,id_support32,ood_val_q99,ood_benign_val,True,True,True,0.0,0.01,0.042,0.21875,0.7626666666666667,False,False,True,False,False,True,False,True,pass,
