candidate,phase,source,records,fresh_resets,score_before_update_records,history_updates,history_rejections,cold_start_records,unreliable_records,phase_state_crossing,label_read_for_state,future_events_used,report_gradient_updates,history_scope,memory_only_events,held_value,seed,provisional_burn_in_records,bounded_shift_clips,minimum_applied_shift,maximum_applied_shift,registered_shift_low,registered_shift_high,bounded_shift_contract,first_event_position,last_event_position,median_event_position_gap,max_event_position_gap
A2-LocalRobustDeviation,select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1,600,587,13,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-stream-consumer,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1,600,579,21,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-stream-consumer,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,processed/iotsim-city-power-1.csv,23,1,23,23,0,23,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-stream-consumer,27,23.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1574.0,1142111.0,878.5,586451.0
A2-LocalRobustDeviation,select,processed/iotsim-combined-cycle-10.csv,6,1,6,6,0,6,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-stream-consumer,27,6.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,17672.0,20400.0,69.0,2459.0
A2-LocalRobustDeviation,select,processed/iotsim-ip-camera-museum-1.csv,40,1,40,40,0,40,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-stream-consumer,27,40.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1589773.0,8457328.0,352.0,2146190.0
M1-GlobalNormalConformal,all,GLOBAL_NO_REPORT_ADAPTATION,6069,0,6069,0,0,0,0,False,False,False,0,not_applicable_global_score,0,iotsim-hydraulic-system,27,,,,,,,,,,,
M2-CappedSourceConformal,report,processed/iotsim-hydraulic-system-12.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,537.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,52.0,2494.0,4.0,5.0
M2-CappedSourceConformal,report,processed/iotsim-hydraulic-system-13.csv,597,1,597,597,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,533.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,52.0,2477.0,4.0,5.0
M2-CappedSourceConformal,report,processed/iotsim-hydraulic-system-14.csv,598,1,598,598,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,534.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,50.0,2480.0,4.0,5.0
M2-CappedSourceConformal,report,processed/iotsim-hydraulic-system-15.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,537.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,52.0,2494.0,4.0,5.0
M2-CappedSourceConformal,report,processed/iotsim-hydraulic-system-2.csv,603,1,603,603,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,539.0,0.3675520232953873,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,50.0,2499.0,4.0,5.0
M2-CappedSourceConformal,select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1,600,584,16,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,292.0,0.23783959162455615,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,14.0,-0.17405035486621018,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,28.0,-0.17405035486621018,0.20892429607364038,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1,600,587,13,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,510.0,-0.17405035486621018,-0.1477484566943068,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1,600,579,21,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,5.0,0.22984579473959021,0.3675520232953873,-0.17405035486621018,0.3675520232953873,True,0.0,599.0,1.0,1.0
M2-CappedSourceConformal,select,processed/iotsim-city-power-1.csv,23,1,23,23,0,23,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,23.0,0.0,,,-0.17405035486621018,0.3675520232953873,True,1574.0,1142111.0,878.5,586451.0
M2-CappedSourceConformal,select,processed/iotsim-combined-cycle-10.csv,6,1,6,6,0,6,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,6.0,0.0,,,-0.17405035486621018,0.3675520232953873,True,17672.0,20400.0,69.0,2459.0
M2-CappedSourceConformal,select,processed/iotsim-ip-camera-museum-1.csv,40,1,40,40,0,40,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,40.0,0.0,,,-0.17405035486621018,0.3675520232953873,True,1589773.0,8457328.0,352.0,2146190.0
A1-UnboundedSourceConformal,report,processed/iotsim-hydraulic-system-12.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,2.0144598524279025,3.4002362069635326,-0.17405035486621018,0.3675520232953873,False,52.0,2494.0,4.0,5.0
A1-UnboundedSourceConformal,report,processed/iotsim-hydraulic-system-13.csv,597,1,597,597,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,2.011578639020685,3.646065947163889,-0.17405035486621018,0.3675520232953873,False,52.0,2477.0,4.0,5.0
A1-UnboundedSourceConformal,report,processed/iotsim-hydraulic-system-14.csv,598,1,598,598,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,2.367604279876885,3.57742402950254,-0.17405035486621018,0.3675520232953873,False,50.0,2480.0,4.0,5.0
A1-UnboundedSourceConformal,report,processed/iotsim-hydraulic-system-15.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,2.3442714955817228,3.252744846121342,-0.17405035486621018,0.3675520232953873,False,52.0,2494.0,4.0,5.0
A1-UnboundedSourceConformal,report,processed/iotsim-hydraulic-system-2.csv,603,1,603,603,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,1.9652347854236099,2.974763912692382,-0.17405035486621018,0.3675520232953873,False,50.0,2499.0,4.0,5.0
A1-UnboundedSourceConformal,select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1,600,584,16,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,0.23783959162455615,0.48846542460315634,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A1-UnboundedSourceConformal,select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,-0.1845688259953544,0.47552883478393815,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A1-UnboundedSourceConformal,select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,-0.21502292433019354,0.20892429607364038,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A1-UnboundedSourceConformal,select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1,600,587,13,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,-0.6289829090533061,-0.1477484566943068,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A1-UnboundedSourceConformal,select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1,600,579,21,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,0.22984579473959021,0.4291511387763367,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A1-UnboundedSourceConformal,select,processed/iotsim-city-power-1.csv,23,1,23,23,0,23,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,23.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1574.0,1142111.0,878.5,586451.0
A1-UnboundedSourceConformal,select,processed/iotsim-combined-cycle-10.csv,6,1,6,6,0,6,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,6.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,17672.0,20400.0,69.0,2459.0
A1-UnboundedSourceConformal,select,processed/iotsim-ip-camera-museum-1.csv,40,1,40,40,0,40,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,40.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1589773.0,8457328.0,352.0,2146190.0
A2-LocalRobustDeviation,report,processed/iotsim-hydraulic-system-12.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,52.0,2494.0,4.0,5.0
A2-LocalRobustDeviation,report,processed/iotsim-hydraulic-system-13.csv,597,1,597,597,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,52.0,2477.0,4.0,5.0
A2-LocalRobustDeviation,report,processed/iotsim-hydraulic-system-14.csv,598,1,598,598,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,50.0,2480.0,4.0,5.0
A2-LocalRobustDeviation,report,processed/iotsim-hydraulic-system-15.csv,601,1,601,601,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,52.0,2494.0,4.0,5.0
A2-LocalRobustDeviation,report,processed/iotsim-hydraulic-system-2.csv,603,1,603,603,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,50.0,2499.0,4.0,5.0
A2-LocalRobustDeviation,select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1,600,584,16,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1,600,600,0,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1,600,587,13,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1,600,579,21,64,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,64.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,0.0,599.0,1.0,1.0
A2-LocalRobustDeviation,select,processed/iotsim-city-power-1.csv,23,1,23,23,0,23,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,23.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1574.0,1142111.0,878.5,586451.0
A2-LocalRobustDeviation,select,processed/iotsim-combined-cycle-10.csv,6,1,6,6,0,6,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,6.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,17672.0,20400.0,69.0,2459.0
A2-LocalRobustDeviation,select,processed/iotsim-ip-camera-museum-1.csv,40,1,40,40,0,40,0,False,False,False,0,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,27,40.0,0.0,,,-0.17405035486621018,0.3675520232953873,False,1589773.0,8457328.0,352.0,2146190.0
