candidate,verifier_threshold,threshold_frontier,support_val_c1_recall,support_val_hard_recall,select_benign_hard_rate,eligible,support_val_rows_used,select_benign_rows_used,report_rows_used,held_value,mode,primary,deployable,gate_constraint_pass,c1_candidate_threshold,burn_in,history_window,seed,selected,selected_despite_constraint_failure
A1-UnboundedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,GLOBAL_ATTACK_PRESERVATION,unbounded_source,False,False,True,0.9980851998991401,64,256,27,True,False
A2-LocalRobustDeviation,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,GLOBAL_ATTACK_PRESERVATION,local_robust,False,False,True,0.9980851998991401,64,256,27,,
A2-LocalRobustDeviation,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,GLOBAL_ATTACK_PRESERVATION,local_robust,False,False,True,0.9980851998991401,64,256,27,True,False
M1-GlobalNormalConformal,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9930023325558147,exact_support_val_attack_scores,1.0,1.0,0.006666666666666667,True,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,True,False
M1-GlobalNormalConformal,0.9936687770743086,exact_support_val_attack_scores,1.0,0.9855072463768116,0.006,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9940019993335555,exact_support_val_attack_scores,1.0,0.9565217391304348,0.005666666666666667,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9946684438520493,exact_support_val_attack_scores,1.0,0.9130434782608695,0.005,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9950016661112963,exact_support_val_attack_scores,1.0,0.8405797101449275,0.004666666666666667,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9953348883705432,exact_support_val_attack_scores,1.0,0.7246376811594203,0.004333333333333333,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.996001332889037,exact_support_val_attack_scores,1.0,0.6811594202898551,0.0036666666666666666,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9973342219260246,exact_support_val_attack_scores,1.0,0.36231884057971014,0.0023333333333333335,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9976674441852715,exact_support_val_attack_scores,1.0,0.34782608695652173,0.002,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9980006664445185,exact_support_val_attack_scores,1.0,0.2608695652173913,0.0016666666666666668,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9983338887037654,exact_support_val_attack_scores,1.0,0.2463768115942029,0.0013333333333333333,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9986671109630123,exact_support_val_attack_scores,1.0,0.18840579710144928,0.001,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9990003332222592,exact_support_val_attack_scores,1.0,0.17391304347826086,0.0006666666666666666,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9996667777407531,exact_support_val_attack_scores,1.0,0.13043478260869565,0.0,False,69,3000,0,iotsim-ip-camera-street,global,False,True,True,0.9980851998991401,0,0,27,,
M2-CappedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-ip-camera-street,capped_source,True,True,True,0.9980851998991401,64,256,27,,
M2-CappedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-ip-camera-street,capped_source,True,True,True,0.9980851998991401,64,256,27,True,False
A1-UnboundedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-ip-camera-street,unbounded_source,False,False,True,0.9980851998991401,64,256,27,,
A1-UnboundedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-ip-camera-street,unbounded_source,False,False,True,0.9980851998991401,64,256,27,True,False
A2-LocalRobustDeviation,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-ip-camera-street,local_robust,False,False,True,0.9980851998991401,64,256,27,,
A2-LocalRobustDeviation,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-ip-camera-street,local_robust,False,False,True,0.9980851998991401,64,256,27,True,False
M1-GlobalNormalConformal,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9930023325558147,exact_support_val_attack_scores,1.0,1.0,0.006666666666666667,True,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,True,False
M1-GlobalNormalConformal,0.9936687770743086,exact_support_val_attack_scores,1.0,0.9855072463768116,0.006,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9940019993335555,exact_support_val_attack_scores,1.0,0.9565217391304348,0.005666666666666667,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9946684438520493,exact_support_val_attack_scores,1.0,0.9130434782608695,0.005,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9950016661112963,exact_support_val_attack_scores,1.0,0.8405797101449275,0.004666666666666667,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9953348883705432,exact_support_val_attack_scores,1.0,0.7246376811594203,0.004333333333333333,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.996001332889037,exact_support_val_attack_scores,1.0,0.6811594202898551,0.0036666666666666666,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9973342219260246,exact_support_val_attack_scores,1.0,0.36231884057971014,0.0023333333333333335,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9976674441852715,exact_support_val_attack_scores,1.0,0.34782608695652173,0.002,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9980006664445185,exact_support_val_attack_scores,1.0,0.2608695652173913,0.0016666666666666668,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9983338887037654,exact_support_val_attack_scores,1.0,0.2463768115942029,0.0013333333333333333,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9986671109630123,exact_support_val_attack_scores,1.0,0.18840579710144928,0.001,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9990003332222592,exact_support_val_attack_scores,1.0,0.17391304347826086,0.0006666666666666666,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9996667777407531,exact_support_val_attack_scores,1.0,0.13043478260869565,0.0,False,69,3000,0,iotsim-predictive-maintenance,global,False,True,True,0.9980851998991401,0,0,27,,
M2-CappedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-predictive-maintenance,capped_source,True,True,True,0.9980851998991401,64,256,27,,
M2-CappedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-predictive-maintenance,capped_source,True,True,True,0.9980851998991401,64,256,27,True,False
A1-UnboundedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-predictive-maintenance,unbounded_source,False,False,True,0.9980851998991401,64,256,27,,
A1-UnboundedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-predictive-maintenance,unbounded_source,False,False,True,0.9980851998991401,64,256,27,True,False
A2-LocalRobustDeviation,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-predictive-maintenance,local_robust,False,False,True,0.9980851998991401,64,256,27,,
A2-LocalRobustDeviation,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-predictive-maintenance,local_robust,False,False,True,0.9980851998991401,64,256,27,True,False
M1-GlobalNormalConformal,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9930023325558147,exact_support_val_attack_scores,1.0,1.0,0.006666666666666667,True,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,True,False
M1-GlobalNormalConformal,0.9936687770743086,exact_support_val_attack_scores,1.0,0.9855072463768116,0.006,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9940019993335555,exact_support_val_attack_scores,1.0,0.9565217391304348,0.005666666666666667,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9946684438520493,exact_support_val_attack_scores,1.0,0.9130434782608695,0.005,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9950016661112963,exact_support_val_attack_scores,1.0,0.8405797101449275,0.004666666666666667,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9953348883705432,exact_support_val_attack_scores,1.0,0.7246376811594203,0.004333333333333333,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.996001332889037,exact_support_val_attack_scores,1.0,0.6811594202898551,0.0036666666666666666,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9973342219260246,exact_support_val_attack_scores,1.0,0.36231884057971014,0.0023333333333333335,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9976674441852715,exact_support_val_attack_scores,1.0,0.34782608695652173,0.002,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9980006664445185,exact_support_val_attack_scores,1.0,0.2608695652173913,0.0016666666666666668,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9983338887037654,exact_support_val_attack_scores,1.0,0.2463768115942029,0.0013333333333333333,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9986671109630123,exact_support_val_attack_scores,1.0,0.18840579710144928,0.001,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9990003332222592,exact_support_val_attack_scores,1.0,0.17391304347826086,0.0006666666666666666,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9996667777407531,exact_support_val_attack_scores,1.0,0.13043478260869565,0.0,False,69,3000,0,iotsim-stream-consumer,global,False,True,True,0.9980851998991401,0,0,27,,
M2-CappedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-stream-consumer,capped_source,True,True,True,0.9980851998991401,64,256,27,,
M2-CappedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-stream-consumer,capped_source,True,True,True,0.9980851998991401,64,256,27,True,False
A1-UnboundedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-stream-consumer,unbounded_source,False,False,True,0.9980851998991401,64,256,27,,
A1-UnboundedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-stream-consumer,unbounded_source,False,False,True,0.9980851998991401,64,256,27,True,False
A2-LocalRobustDeviation,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-stream-consumer,local_robust,False,False,True,0.9980851998991401,64,256,27,,
A2-LocalRobustDeviation,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-stream-consumer,local_robust,False,False,True,0.9980851998991401,64,256,27,True,False
M1-GlobalNormalConformal,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9930023325558147,exact_support_val_attack_scores,1.0,1.0,0.006666666666666667,True,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,True,False
M1-GlobalNormalConformal,0.9936687770743086,exact_support_val_attack_scores,1.0,0.9855072463768116,0.006,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9940019993335555,exact_support_val_attack_scores,1.0,0.9565217391304348,0.005666666666666667,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9946684438520493,exact_support_val_attack_scores,1.0,0.9130434782608695,0.005,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9950016661112963,exact_support_val_attack_scores,1.0,0.8405797101449275,0.004666666666666667,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9953348883705432,exact_support_val_attack_scores,1.0,0.7246376811594203,0.004333333333333333,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.996001332889037,exact_support_val_attack_scores,1.0,0.6811594202898551,0.0036666666666666666,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9973342219260246,exact_support_val_attack_scores,1.0,0.36231884057971014,0.0023333333333333335,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9976674441852715,exact_support_val_attack_scores,1.0,0.34782608695652173,0.002,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9980006664445185,exact_support_val_attack_scores,1.0,0.2608695652173913,0.0016666666666666668,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9983338887037654,exact_support_val_attack_scores,1.0,0.2463768115942029,0.0013333333333333333,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9986671109630123,exact_support_val_attack_scores,1.0,0.18840579710144928,0.001,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9990003332222592,exact_support_val_attack_scores,1.0,0.17391304347826086,0.0006666666666666666,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M1-GlobalNormalConformal,0.9996667777407531,exact_support_val_attack_scores,1.0,0.13043478260869565,0.0,False,69,3000,0,iotsim-hydraulic-system,global,False,True,True,0.9980851998991401,0,0,27,,
M2-CappedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-hydraulic-system,capped_source,True,True,True,0.9980851998991401,64,256,27,,
M2-CappedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-hydraulic-system,capped_source,True,True,True,0.9980851998991401,64,256,27,True,False
A1-UnboundedSourceConformal,0.0006664445184938471,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-hydraulic-system,unbounded_source,False,False,True,0.9980851998991401,64,256,27,,
A1-UnboundedSourceConformal,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-hydraulic-system,unbounded_source,False,False,True,0.9980851998991401,64,256,27,True,False
A2-LocalRobustDeviation,-5e-324,exact_support_val_attack_scores,1.0,1.0,1.0,True,69,3000,0,iotsim-hydraulic-system,local_robust,False,False,True,0.9980851998991401,64,256,27,,
A2-LocalRobustDeviation,1.0,exact_support_val_attack_scores,1.0,1.0,0.10666666666666667,True,69,3000,0,iotsim-hydraulic-system,local_robust,False,False,True,0.9980851998991401,64,256,27,True,False
