seed,active_label_budget,bank_name,source_roles,train_rows,val_rows,prototype_budget,prototype_count,prototype_local_indices_sha256,radius_quantile,radius,val_distance_mean,val_distance_max,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
42,128,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.95,6.288252830505371,4.056262969970703,8.036429405212402,False,False,False
42,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.95,5098.49853515625,8369.927734375,7412407.0,False,False,False
42,128,attack_medium,attack_support_medium_train/val,96,32,64,64,c3bf2f0fa2869f9bd245069ce3b797ef6b981c3953b19437a6e2457a5eb80ac3,0.95,6.969227313995361,4.892422676086426,7.566286087036133,False,False,False
42,128,attack_heavy,active_heavy_support_train/val,96,32,64,64,a6df28ad7e823da72a1dbdcdb717528cafeb20100a2efe187237967f2284c83c,0.95,15.518854141235352,10.95134162902832,257.619384765625,False,False,False
43,64,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.9,8.761788368225098,5.714221000671387,10.647994041442871,False,False,False
43,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.9,2641.267333984375,8371.068359375,7412407.0,False,False,False
43,64,attack_medium,attack_support_medium_train/val,96,32,32,32,ef8842b291c2335489eb56aac8ac5c2965cdc7cbb42138445e71e04ba2bb96bb,0.9,9.375062942504883,6.710701942443848,14.686793327331543,False,False,False
43,64,attack_heavy,active_heavy_support_train/val,48,16,32,32,8cb165f08dad684d96d13979ecf873b8485fc04130c6c93670c8fce9c1189f46,0.9,6.124692916870117,3.0102014541625977,7.591335773468018,False,False,False
43,64,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
43,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
43,64,attack_medium,attack_support_medium_train/val,96,32,32,32,ef8842b291c2335489eb56aac8ac5c2965cdc7cbb42138445e71e04ba2bb96bb,0.95,11.175592422485352,6.710701942443848,14.686793327331543,False,False,False
43,64,attack_heavy,active_heavy_support_train/val,48,16,32,32,8cb165f08dad684d96d13979ecf873b8485fc04130c6c93670c8fce9c1189f46,0.95,6.890933036804199,3.0102014541625977,7.591335773468018,False,False,False
43,64,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.9,5.969648361206055,4.056262969970703,8.036429405212402,False,False,False
43,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.9,2641.267333984375,8369.927734375,7412407.0,False,False,False
43,64,attack_medium,attack_support_medium_train/val,96,32,64,64,4df0d240f93fc97df436c3be8803291f789763d8368e3e7ff3764662c1dc1d11,0.9,9.279224395751953,5.474498748779297,14.686793327331543,False,False,False
43,64,attack_heavy,active_heavy_support_train/val,48,16,64,48,315e8ec92e8160417b335cafd0d075b7bd1af8e94c41e3341dafba123003ff5b,0.9,6.124692916870117,2.8977279663085938,7.591335773468018,False,False,False
43,64,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.95,6.288252830505371,4.056262969970703,8.036429405212402,False,False,False
43,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.95,5098.49853515625,8369.927734375,7412407.0,False,False,False
43,64,attack_medium,attack_support_medium_train/val,96,32,64,64,4df0d240f93fc97df436c3be8803291f789763d8368e3e7ff3764662c1dc1d11,0.95,11.175592422485352,5.474498748779297,14.686793327331543,False,False,False
43,64,attack_heavy,active_heavy_support_train/val,48,16,64,48,315e8ec92e8160417b335cafd0d075b7bd1af8e94c41e3341dafba123003ff5b,0.95,6.890933036804199,2.8977279663085938,7.591335773468018,False,False,False
43,128,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.9,8.761788368225098,5.714221000671387,10.647994041442871,False,False,False
43,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.9,2641.267333984375,8371.068359375,7412407.0,False,False,False
43,128,attack_medium,attack_support_medium_train/val,96,32,32,32,ef8842b291c2335489eb56aac8ac5c2965cdc7cbb42138445e71e04ba2bb96bb,0.9,9.375062942504883,6.710701942443848,14.686793327331543,False,False,False
43,128,attack_heavy,active_heavy_support_train/val,96,32,32,32,6740d9a29b3db9fad8eb95f1cde15e5f2630319026ed5e9da394cb66e9bab007,0.9,5.835500717163086,3.7826764583587646,18.14617156982422,False,False,False
43,128,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
43,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
