head_id,representation,holdout,seed,support_overlaps_attack_eval,ood_val_used_for_training,final_ood_eval_used_for_training,attack_eval_used_for_training,final_eval_used_for_selection,leakage_risk
LOW_GUARD_DeepSADLite,original100,holdout_bin_6,43,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_6,43,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_6,43,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_6,44,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_7,42,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_7,43,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_7,44,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_8,42,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_8,43,False,False,False,False,False,low
LOW_GUARD_LR,source_rich_top64,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_LR,original100,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_DevNetScore,original100,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_DeepSADLite,original100,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_8,44,False,False,False,False,False,low
LOW_GUARD_PrototypeMargin,original100,holdout_bin_8,44,False,False,False,False,False,low
