job_index,job_label,weighting,seed,stage,role,attack_label,device,support_coverage,rows,parent_hard_detection,temporal_hard_detection,temporal_suppress_rate,temporal_attack_min,temporal_attack_p50,temporal_attack_p90,temporal_attack_p95,temporal_attack_p99,temporal_attack_max,temporal_attack_mean,temporal_attack_std
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,File Download,combined-cycle,seen_in_support,3,0.6666666666666666,0.6666666666666666,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.6665569125582548,0.47130612513776193
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Ingress Tool Transfer,combined-cycle,seen_in_support,3,1.0,0.6666666666666666,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.6665569125582548,0.47130612513776193
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin C&C Communication,ip-camera-museum,seen_in_support,5,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579219,1.1102230246251565e-16
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin ICMP Flooding,city-power,seen_in_support,1,1.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin TCP Flooding,city-power,seen_in_support,6,1.0,0.6666666666666666,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.6665569125582548,0.47130612513776193
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin TCP Flooding,ip-camera-museum,seen_in_support,5,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579219,1.1102230246251565e-16
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin UDP Flooding,city-power,seen_in_support,3,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Merlin UDP Flooding,ip-camera-museum,seen_in_support,3,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Mirai C&C Communication,ip-camera-museum,seen_in_support,2,0.5,0.5,0.0,2.939835892077895e-05,0.4999250340084213,0.8998415425280217,0.9498311060929717,0.9898227569449318,0.9998206696579218,0.4999250340084213,0.4998956356495005
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Mirai GRE Flooding,city-power,seen_in_support,4,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Mirai GRE Flooding,ip-camera-museum,seen_in_support,6,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,Mirai TCP Flooding,city-power,seen_in_support,4,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
