candidate,split,seed,role,phase,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,attack_score_p95,attack_threshold,threshold_roles,held_field,held_value
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,ood_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,ood_stress,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,support_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,same_file_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,future_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,sealed_final_ood,all,99950,0.05042521260630315,0.04676338169084542,0.0036618309154577288,4674,366,0.006633086889657149,0.011001228604174282,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-street-2.csv,leave_source_group,42,sealed_final_attack,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-street-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,ood_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,ood_stress,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,support_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,same_file_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,future_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,sealed_final_ood,all,54950,0.021910828025477707,0.019326660600545952,0.002584167424931756,1062,142,0.0038127760797502836,0.00387249928986902,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-ip-camera-museum-2.csv,leave_source_group,42,sealed_final_attack,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-ip-camera-museum-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,ood_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,ood_stress,select,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,432,21,0.0006625180196149276,0.0009315709009482169,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,support_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,same_file_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,future_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,sealed_final_ood,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-stream-consumer-2.csv,leave_source_group,42,sealed_final_attack,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val,source_group,processed/iotsim-stream-consumer-2.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,ood_val,select,2446,0.013082583810302535,0.013082583810302535,0.0,32,0,0.0013832035224802378,0.002848024010781185,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,ood_stress,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,support_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,same_file_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,future_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,sealed_final_ood,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_source_group_processed_iotsim-hydraulic-system-12.csv,leave_source_group,42,sealed_final_attack,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,source_group,processed/iotsim-hydraulic-system-12.csv
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,ood_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,ood_stress,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,support_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,same_file_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,future_query,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,sealed_final_ood,all,99950,0.05042521260630315,0.04676338169084542,0.0036618309154577288,4674,366,0.006633086889657149,0.011001228604174282,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-street,leave_device_family,42,sealed_final_attack,all,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-street
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-museum,leave_device_family,42,id_calib,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-museum
C4_cap20000_seed42_leave_device_family_iotsim-ip-camera-museum,leave_device_family,42,ood_val,select,0,,,,0,0,,,0.010761205956304138,id_calib|ood_val|ood_stress,device_family,iotsim-ip-camera-museum
