candidate,protocol,held_value,role,rows,sources,label,metric,hard_rate,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
TGN-only,strict_leave,domotic-monitor,future_query,3000,1,1,attack_hard_recall,0.9503333333333334,0.9141666760191821,0.972832665558205,episode,77,0.0,27
M0,strict_leave,combined-cycle,future_query,3000,2,1,attack_hard_recall,1.0,1.0,1.0,source,2,0.0,27
M0,strict_leave,combined-cycle,same_file_query,2486,1,1,attack_hard_recall,0.9903459372485921,0.9819245966496258,0.9970120022607719,episode,14,0.0,27
M1-Random,strict_leave,combined-cycle,future_query,3000,2,1,attack_hard_recall,0.9553333333333334,0.9393468118195957,0.9596945269410267,source,2,0.0,27
M1-Random,strict_leave,combined-cycle,same_file_query,2486,1,1,attack_hard_recall,0.9891391794046661,0.9809229601332158,0.9959197466734752,episode,14,0.0,27
M1-SSL,strict_leave,combined-cycle,future_query,3000,2,1,attack_hard_recall,0.9556666666666667,0.8755832037325039,0.9775137887144676,source,2,0.0,27
M1-SSL,strict_leave,combined-cycle,same_file_query,2486,1,1,attack_hard_recall,0.8809332260659695,0.8395022784239,0.9220832722732074,episode,14,0.0,27
TGN-only,strict_leave,combined-cycle,future_query,3000,2,1,attack_hard_recall,0.9626666666666667,0.8989113530326595,0.9800593975392448,source,2,0.0,27
TGN-only,strict_leave,combined-cycle,same_file_query,2486,1,1,attack_hard_recall,0.8978278358809332,0.8587374800488627,0.9334411262347907,episode,14,0.0,27
M0,strict_leave,iotsim-ip-camera-street,sealed_final_ood,3000,1,0,benign_ood_hard_rate,0.018666666666666668,0.004548940490379076,0.05105149686503606,episode,22,0.0,27
M1-Random,strict_leave,iotsim-ip-camera-street,sealed_final_ood,3000,1,0,benign_ood_hard_rate,0.017666666666666667,0.004548940490379076,0.04750972758913119,episode,22,0.0,27
M1-SSL,strict_leave,iotsim-ip-camera-street,sealed_final_ood,3000,1,0,benign_ood_hard_rate,0.017333333333333333,0.004001057493949891,0.047805025430820276,episode,22,0.0,27
TGN-only,strict_leave,iotsim-ip-camera-street,sealed_final_ood,3000,1,0,benign_ood_hard_rate,0.8396666666666667,0.828526804067753,0.8524364024461978,episode,22,0.0,27
