candidate,protocol,held_value,role,rows,sources,label,metric,hard_rate,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9996194564315668,0.9995158885381771,1.0,source,5,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,1.0,1.0,1.0,episode,14,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,1.0,1.0,1.0,episode,208,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.02886971527178602,0.018666666666666668,0.02942675159235669,source,2,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M1-ExtraTrees-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.7031684057507744,0.18849505415307255,0.8299940022176178,source,5,0.0,27
M1-ExtraTrees-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.7727272727272727,0.7474179902625908,0.8018038893010115,episode,14,0.0,27
M1-ExtraTrees-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9005485722589551,0.8087412212354793,0.9512881478948374,episode,208,0.0,27
M1-ExtraTrees-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.0,0.0,0.0,source,2,0.0,27
M1-ExtraTrees-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M2-TabM-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9700283885502051,0.9535555555555556,0.9727359811362464,source,5,0.0,27
M2-TabM-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.9698310539018503,0.9369469434669089,0.9963936015019839,episode,14,0.0,27
M2-TabM-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9994096490590714,0.9988304580835423,0.999694990750654,episode,208,0.0,27
M2-TabM-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.0001553062985332183,0.0,0.0001637852593266606,source,2,0.0,27
M2-TabM-Global,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M3-TabM-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9915747653948901,0.9786666666666667,0.9963615608062353,source,5,0.0,27
M3-TabM-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,1.0,1.0,1.0,episode,14,0.0,27
M3-TabM-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,1.0,1.0,1.0,episode,208,0.0,27
M3-TabM-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.0003106125970664366,0.0002183803457688808,0.002,source,2,0.0,27
M3-TabM-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
A1-ExtraTrees-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.836579369972068,0.4990515379403613,0.918103653259019,source,5,0.0,27
A1-ExtraTrees-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.7063555913113435,0.544472408849709,0.8455845707013125,episode,14,0.0,27
A1-ExtraTrees-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9771942890358207,0.9581180027920202,0.9868046885816893,episode,208,0.0,27
A1-ExtraTrees-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.0,0.0,0.0,source,2,0.0,27
A1-ExtraTrees-CSR,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M0-C1,strict_leave,iotsim-stream-consumer,ood_stress,3000,1,0,benign_ood_hard_rate,1.0,1.0,1.0,episode,28,0.0,27
M1-ExtraTrees-Global,strict_leave,iotsim-stream-consumer,ood_stress,3000,1,0,benign_ood_hard_rate,0.9953333333333333,0.9894810098653737,0.9981852488718606,episode,28,0.0,27
M2-TabM-Global,strict_leave,iotsim-stream-consumer,ood_stress,3000,1,0,benign_ood_hard_rate,0.9993333333333333,0.9980836425430407,1.0,episode,28,0.0,27
