dataset,holdout,seed,seed_group,rank,feature_index,feature_name,selection_score,selection_uses_attack_eval,selection_uses_final_ood_eval
primary_lowood,primary_lowood,43,main_42_46,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,43,main_42_46,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,43,main_42_46,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,43,main_42_46,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,43,main_42_46,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,43,main_42_46,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,43,main_42_46,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,44,main_42_46,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,44,main_42_46,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,44,main_42_46,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,44,main_42_46,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,44,main_42_46,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,44,main_42_46,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,44,main_42_46,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,44,main_42_46,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,44,main_42_46,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,44,main_42_46,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,44,main_42_46,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,44,main_42_46,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,44,main_42_46,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,44,main_42_46,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,44,main_42_46,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,44,main_42_46,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,44,main_42_46,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,44,main_42_46,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,44,main_42_46,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,44,main_42_46,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,44,main_42_46,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,44,main_42_46,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,44,main_42_46,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,44,main_42_46,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,44,main_42_46,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,44,main_42_46,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,44,main_42_46,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,44,main_42_46,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,44,main_42_46,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,44,main_42_46,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,44,main_42_46,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,44,main_42_46,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,45,main_42_46,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,45,main_42_46,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,45,main_42_46,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,45,main_42_46,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,45,main_42_46,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,45,main_42_46,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,45,main_42_46,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,45,main_42_46,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,45,main_42_46,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,45,main_42_46,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,45,main_42_46,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,45,main_42_46,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,45,main_42_46,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,45,main_42_46,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,45,main_42_46,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,45,main_42_46,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,45,main_42_46,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,45,main_42_46,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,45,main_42_46,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,45,main_42_46,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,45,main_42_46,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,45,main_42_46,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,45,main_42_46,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,45,main_42_46,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,45,main_42_46,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,45,main_42_46,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,45,main_42_46,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,45,main_42_46,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,45,main_42_46,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,45,main_42_46,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,45,main_42_46,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,45,main_42_46,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,46,main_42_46,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,46,main_42_46,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,46,main_42_46,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,46,main_42_46,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,46,main_42_46,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,46,main_42_46,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,46,main_42_46,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,46,main_42_46,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,46,main_42_46,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,46,main_42_46,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,46,main_42_46,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,46,main_42_46,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,46,main_42_46,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,46,main_42_46,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,46,main_42_46,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,46,main_42_46,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,46,main_42_46,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,46,main_42_46,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,46,main_42_46,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,46,main_42_46,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,46,main_42_46,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,46,main_42_46,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,46,main_42_46,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,46,main_42_46,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,46,main_42_46,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,46,main_42_46,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,46,main_42_46,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,46,main_42_46,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,46,main_42_46,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,46,main_42_46,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,46,main_42_46,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,46,main_42_46,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,47,heldout_47_51,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,47,heldout_47_51,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,47,heldout_47_51,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,47,heldout_47_51,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,47,heldout_47_51,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,47,heldout_47_51,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,47,heldout_47_51,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,47,heldout_47_51,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,47,heldout_47_51,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,47,heldout_47_51,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,47,heldout_47_51,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,47,heldout_47_51,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,47,heldout_47_51,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,47,heldout_47_51,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,47,heldout_47_51,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,47,heldout_47_51,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,47,heldout_47_51,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,47,heldout_47_51,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,47,heldout_47_51,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,47,heldout_47_51,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,47,heldout_47_51,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,47,heldout_47_51,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,47,heldout_47_51,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,47,heldout_47_51,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,47,heldout_47_51,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,47,heldout_47_51,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,47,heldout_47_51,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,47,heldout_47_51,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,47,heldout_47_51,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,47,heldout_47_51,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,47,heldout_47_51,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,47,heldout_47_51,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,48,heldout_47_51,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,48,heldout_47_51,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,48,heldout_47_51,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,48,heldout_47_51,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,48,heldout_47_51,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,48,heldout_47_51,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,48,heldout_47_51,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,48,heldout_47_51,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,48,heldout_47_51,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,48,heldout_47_51,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,48,heldout_47_51,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,48,heldout_47_51,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,48,heldout_47_51,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,48,heldout_47_51,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,48,heldout_47_51,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,48,heldout_47_51,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,48,heldout_47_51,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,48,heldout_47_51,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,48,heldout_47_51,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,48,heldout_47_51,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,48,heldout_47_51,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,48,heldout_47_51,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,48,heldout_47_51,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,48,heldout_47_51,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,48,heldout_47_51,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,48,heldout_47_51,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,48,heldout_47_51,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,48,heldout_47_51,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,48,heldout_47_51,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,48,heldout_47_51,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,48,heldout_47_51,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,48,heldout_47_51,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,49,heldout_47_51,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,49,heldout_47_51,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,49,heldout_47_51,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,49,heldout_47_51,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,49,heldout_47_51,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,49,heldout_47_51,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,49,heldout_47_51,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,49,heldout_47_51,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,49,heldout_47_51,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,49,heldout_47_51,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,49,heldout_47_51,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,49,heldout_47_51,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,49,heldout_47_51,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,49,heldout_47_51,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,49,heldout_47_51,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,49,heldout_47_51,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,49,heldout_47_51,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,49,heldout_47_51,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,49,heldout_47_51,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,49,heldout_47_51,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,49,heldout_47_51,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,49,heldout_47_51,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,49,heldout_47_51,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,49,heldout_47_51,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,49,heldout_47_51,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,49,heldout_47_51,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,49,heldout_47_51,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,49,heldout_47_51,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,49,heldout_47_51,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,49,heldout_47_51,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,49,heldout_47_51,31,176,source_rich_176,1.0992324352264404,False,False
primary_lowood,primary_lowood,49,heldout_47_51,32,210,source_rich_210,1.092695951461792,False,False
primary_lowood,primary_lowood,50,heldout_47_51,1,52,HH_jit_5_std,4.401937961578369,False,False
primary_lowood,primary_lowood,50,heldout_47_51,2,73,HpHp_3_mean_0,2.627645492553711,False,False
primary_lowood,primary_lowood,50,heldout_47_51,3,125,source_rich_125,2.6080381870269775,False,False
primary_lowood,primary_lowood,50,heldout_47_51,4,250,source_rich_250,2.274935245513916,False,False
primary_lowood,primary_lowood,50,heldout_47_51,5,39,HH_0.1_radius_0_1,2.194256544113159,False,False
primary_lowood,primary_lowood,50,heldout_47_51,6,252,source_rich_252,2.005866289138794,False,False
primary_lowood,primary_lowood,50,heldout_47_51,7,251,source_rich_251,1.9697074890136719,False,False
primary_lowood,primary_lowood,50,heldout_47_51,8,257,source_rich_257,1.9695444107055664,False,False
primary_lowood,primary_lowood,50,heldout_47_51,9,151,source_rich_151,1.9544131755828857,False,False
primary_lowood,primary_lowood,50,heldout_47_51,10,218,source_rich_218,1.9201964139938354,False,False
primary_lowood,primary_lowood,50,heldout_47_51,11,205,source_rich_205,1.8958449363708496,False,False
primary_lowood,primary_lowood,50,heldout_47_51,12,231,source_rich_231,1.8116893768310547,False,False
primary_lowood,primary_lowood,50,heldout_47_51,13,182,source_rich_182,1.7887065410614014,False,False
primary_lowood,primary_lowood,50,heldout_47_51,14,169,source_rich_169,1.6511701345443726,False,False
primary_lowood,primary_lowood,50,heldout_47_51,15,20,HH_5_covariance_0_1,1.6112385988235474,False,False
primary_lowood,primary_lowood,50,heldout_47_51,16,34,HH_1_covariance_0_1,1.5698210000991821,False,False
primary_lowood,primary_lowood,50,heldout_47_51,17,224,source_rich_224,1.5678739547729492,False,False
primary_lowood,primary_lowood,50,heldout_47_51,18,223,source_rich_223,1.5368461608886719,False,False
primary_lowood,primary_lowood,50,heldout_47_51,19,33,HH_1_magnitude_0_1,1.4277068376541138,False,False
primary_lowood,primary_lowood,50,heldout_47_51,20,164,source_rich_164,1.4221675395965576,False,False
primary_lowood,primary_lowood,50,heldout_47_51,21,121,source_rich_121,1.3983752727508545,False,False
primary_lowood,primary_lowood,50,heldout_47_51,22,236,source_rich_236,1.3741261959075928,False,False
primary_lowood,primary_lowood,50,heldout_47_51,23,211,source_rich_211,1.3597133159637451,False,False
primary_lowood,primary_lowood,50,heldout_47_51,24,59,HH_jit_0.1_weight,1.352868676185608,False,False
primary_lowood,primary_lowood,50,heldout_47_51,25,131,source_rich_131,1.344714879989624,False,False
primary_lowood,primary_lowood,50,heldout_47_51,26,28,HH_3_pcc_0_1,1.3272281885147095,False,False
primary_lowood,primary_lowood,50,heldout_47_51,27,29,HH_1_weight_0,1.2205045223236084,False,False
primary_lowood,primary_lowood,50,heldout_47_51,28,2,MI_dir_5_std,1.1565014123916626,False,False
primary_lowood,primary_lowood,50,heldout_47_51,29,170,source_rich_170,1.1417772769927979,False,False
primary_lowood,primary_lowood,50,heldout_47_51,30,177,source_rich_177,1.1270934343338013,False,False
primary_lowood,primary_lowood,50,heldout_47_51,31,176,source_rich_176,1.0992324352264404,False,False
