raw_rate_thr,margin_thr,d_attack_thr,dev_attack_min,dev_ood_max,dev_review_max,feasible_1pct,feasible_5pct,selection_uses_final_ood,selection_uses_report_only_attack,dev_score
0.0,0.5729660891775881,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.5729660891775881,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.5729660891775881,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.5729660891775881,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.6806708808041746,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.6806708808041746,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.6806708808041746,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.6806708808041746,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.8466197741075264,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.8466197741075264,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.8466197741075264,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.0,0.8466197741075264,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.5729660891775881,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.5729660891775881,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.5729660891775881,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.5729660891775881,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.6806708808041746,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.6806708808041746,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.6806708808041746,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.6806708808041746,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.8466197741075264,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.8466197741075264,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.8466197741075264,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.05,0.8466197741075264,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.5729660891775881,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.5729660891775881,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.5729660891775881,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.5729660891775881,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.6806708808041746,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.6806708808041746,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.6806708808041746,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.6806708808041746,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.8466197741075264,0.75,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.8466197741075264,1.0,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.8466197741075264,1.25,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
0.1,0.8466197741075264,1.5,0.984375,0.25933333333333336,0.0,False,False,False,False,0.595375
