evaluation_role,dataset,holdout,split_protocol,adapter,selected_config_id,model_type,seed,seed_group,representation,support_method,support_size,ood_target,ood_target_label,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,feature_dim,train_time,inference_time,parameter_count,hard_negative_count,provenance_clean,final_eval_used_for_selection
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A0_lr_baseline,lr_fixed_guard,lr,42,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,True,-4.102580408336336,877,10000,64,0.5421694999968167,0.019443400000454858,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A1_low_fpr_weighted_lr,lr_tail_q0.975_w8.0_a1.0,lr,42,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9810759407069556,0.972827290021989,0.9831082436125897,0.9680729760547321,0.9680729760547321,0.0039,True,-4.109648427469117,877,10000,64,1.0437009000161197,0.02313379998668097,65,50,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A2_linear_svm_margin,sgd_hinge_alpha1e-05_a1.0,linear_svm,42,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9797660205245154,0.9340663096635431,0.8905359179019385,0.8973774230330672,0.8015963511972634,0.0032,True,-3019.632651337058,877,10000,64,0.07416799999191426,0.024459000007482246,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A0_lr_baseline,lr_fixed_guard,lr,43,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,True,-4.102580408336336,877,10000,64,0.493179200013401,0.023380800004815683,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A1_low_fpr_weighted_lr,lr_tail_q0.975_w8.0_a1.0,lr,43,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9810759407069556,0.972827290021989,0.9831082436125897,0.9680729760547321,0.9680729760547321,0.0039,True,-4.109648427469117,877,10000,64,1.0391846999991685,0.01911290001589805,65,50,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A2_linear_svm_margin,sgd_hinge_alpha1e-05_a1.0,linear_svm,43,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9857986316989736,0.9460260756036178,0.8908281429954792,0.9190421892816419,0.8654503990877993,0.0051,True,-703.8042717354106,877,10000,64,0.06243650001124479,0.019949400011682883,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A0_lr_baseline,lr_fixed_guard,lr,44,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,True,-4.102580408336336,877,10000,64,0.4850021000020206,0.020607300015399233,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A1_low_fpr_weighted_lr,lr_tail_q0.975_w8.0_a1.0,lr,44,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9810759407069556,0.972827290021989,0.9831082436125897,0.9680729760547321,0.9680729760547321,0.0039,True,-4.109648427469117,877,10000,64,1.0441196000028867,0.021962900005746633,65,50,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A2_linear_svm_margin,sgd_hinge_alpha1e-05_a1.0,linear_svm,44,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.983323945267959,0.940344021157537,0.8886736991685911,0.9042189281641961,0.8278221208665907,0.0036,True,-2143.4591122129827,877,10000,64,0.07477259999723174,0.01764740000362508,65,0,True,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,A0_lr_baseline,lr_fixed_guard,lr,45,main_42_46,selected_source_rich_top64,kcenter,32,0.01,1.0pct,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,True,-4.102580408336336,877,10000,64,0.5056886000093073,0.0164812000002712,65,0,True,False
